Dia_Numero,Dia_Semana,Tema,Versiculos,Texto_Completo
15,Segunda,Recomeço,"1Pe 1:3, Jr 29:11, Ap 21:5","1Pe 1:3 - Bendito seja o Deus e Pai de nosso Senhor Jesus Cristo! Conforme a sua grande misericórdia, ele nos regenerou para uma esperança viva, por meio da ressurreição de Jesus Cristo dentre os mortos. | Jr 29:11 - Porque sou eu que conheço os planos que tenho para vocês, diz o Senhor, planos de fazê-los prosperar e não de causar dano, planos de dar a vocês esperança e um futuro. | Ap 21:5 - Aquele que estava assentado no trono disse: Estou fazendo novas todas as coisas! E acrescentou: Escreva isto, pois estas palavras são verdadeiras e dignas de confiança."
16,Terça,Foco e Autocontrole,"Tg 1:19-20, 1Pe 5:8, Pv 25:28","Tg 1:19-20 - Meus amados irmãos, tenham isto em mente: Sejam todos prontos para ouvir, tardios para falar e tardios para irar-se, pois a ira do homem não produz a justiça de Deus. | 1Pe 5:8 - Estejam alertas e vigiem. O Diabo, o inimigo de vocês, anda ao redor como leão, rugindo e procurando a quem possa devorar. | Pv 25:28 - Como a cidade com seus muros derrubados, assim é quem não sabe dominar-se."
17,Quarta,Família,"Sl 128:1-2, Ef 5:25, 1Jo 4:19","Sl 128:1-2 - Como é feliz quem teme ao Senhor, quem anda em seus caminhos! Você comerá do fruto do seu trabalho, e será feliz e próspero. | Ef 5:25 - Maridos, ame cada um a sua mulher, assim como Cristo amou a igreja e entregou-se por ela. | 1Jo 4:19 - Nós amamos porque ele nos amou primeiro."
18,Quinta,Organização e Finanças,"1Co 14:40, 2Co 9:6-7, Pv 10:4","1Co 14:40 - Mas tudo deve ser feito com decência e ordem. | 2Co 9:6-7 - Lembrem-se: aquele que semeia pouco também colherá pouco, e aquele que semeia com fartura também colherá com fartura. Cada um dê conforme determinou em seu coração, não com pesar ou por obrigação, pois Deus ama quem dá com alegria. | Pv 10:4 - As mãos preguiçosas empobrecem o homem, porém as mãos diligentes lhe trazem riqueza."
19,Sexta,Paz e Cura,"Jr 17:14, Sl 46:1-2, Jo 16:33","Jr 17:14 - Cura-me, Senhor, e serei curado; salva-me, e serei salvo, pois tu és aquele a quem eu louvo. | Sl 46:1-2 - Deus é o nosso refúgio e a nossa fortaleza, auxílio sempre presente na adversidade. Por isso não temeremos, ainda que a terra trema e os montes afundem no coração do mar. | Jo 16:33 - Eu lhes disse essas coisas para que em mim vocês tenham paz. Neste mundo vocês terão aflições; contudo, tenham ânimo! Eu venci o mundo."
20,Sábado,Esperança e Força,"Sl 62:5-6, 1Co 15:58, Dt 31:6","Sl 62:5-6 - Descanse somente em Deus, ó minha alma; dele vem a minha esperança. Somente ele é a rocha que me salva; ele é a minha torre segura! Não serei abalado! | 1Co 15:58 - Portanto, meus amados irmãos, mantenham-se firmes, e que nada os abale. Sejam sempre dedicados à obra do Senhor, pois vocês sabem que, no Senhor, o trabalho de vocês não será inútil. | Dt 31:6 - Sejam fortes e corajosos. Não tenham medo nem fiquem apavorados por causa delas, pois o Senhor, o seu Deus, vai com vocês; nunca os deixará, nunca os abandonará."
21,Domingo,Gratidão e Louvor,"Sl 136:1, Fp 4:4, Sl 150:6","Sl 136:1 - Dêem graças ao Senhor, porque ele é bom. O seu amor dura para sempre! | Fp 4:4 - Alegrem-se sempre no Senhor. Novamente direi: Alegrem-se! | Sl 150:6 - Tudo o que tem vida louve o Senhor! Aleluia!"
22,Segunda,Recomeço,"Rm 6:4, Gl 2:20, 1Jo 1:9","Rm 6:4 - Portanto, fomos sepultados com ele na morte por meio do batismo, a fim de que, assim como Cristo foi ressuscitado dos mortos mediante a glória do Pai, também nós vivamos uma vida nova. | Gl 2:20 - Fui crucificado com Cristo. Assim, já não sou eu quem vive, mas Cristo vive em mim. A vida que agora vivo no corpo, vivo-a pela fé no filho de Deus, que me amou e se entregou por mim. | 1Jo 1:9 - Se confessarmos os nossos pecados, ele é fiel e justo para nos perdoar os pecados e nos purificar de toda injustiça."
23,Terça,Foco e Autocontrole,"Sl 119:37, Mt 6:22, 1Co 6:12","Sl 119:37 - Desvia os meus olhos das coisas inúteis; faz-me viver nos teus caminhos. | Mt 6:22 - Os olhos são a candeia do corpo. Se os seus olhos forem bons, todo o seu corpo será cheio de luz. | 1Co 6:12 - Todas as coisas me são permitidas, mas nem todas são proveitosas. Todas as coisas me são permitidas, mas eu não deixarei que nada me domine."
24,Quarta,Família,"Pv 15:1, 1Co 13:4-7, Sl 133:1","Pv 15:1 - A resposta calma desvia a fúria, mas a palavra ríspida desperta a ira. | 1Co 13:4-7 - O amor é paciente, o amor é bondoso. Não inveja, não se vangloria, não se orgulha. Não maltrata, não procura seus interesses, não se ira facilmente, não guarda rancor. O amor não se alegra com a injustiça, mas se alegra com a verdade. Tudo sofre, tudo crê, tudo espera, tudo suporta. | Sl 133:1 - Como é bom e agradável quando os irmãos convivem em união!"
25,Quinta,Organização e Finanças,"Pv 24:3-4, Fp 4:19, Lc 16:10","Pv 24:3-4 - Com sabedoria se constrói a casa, e através do discernimento ela se consolida; pelo conhecimento os seus cômodos se enchem de tudo o que é precioso e agradável. | Fp 4:19 - O meu Deus suprirá todas as necessidades de vocês, de acordo com as suas gloriosas riquezas em Cristo Jesus. | Lc 16:10 - Quem é fiel no pouco, também é fiel no muito, e quem é desonesto no pouco, também é desonesto no muito."
26,Sexta,Paz e Cura,"Sl 91:1-2, Pv 17:22, Rm 15:13","Sl 91:1-2 - Aquele que habita no abrigo do Altíssimo e descansa à sombra do Todo-poderoso pode dizer ao Senhor: Tu és o meu refúgio e a minha fortaleza, o meu Deus, em quem confio. | Pv 17:22 - O coração alegre é bom remédio, mas o espírito abatido seca os ossos. | Rm 15:13 - Que o Deus da esperança os encha de toda alegria e paz, por sua confiança nele, para que vocês transbordem de esperança, pelo poder do Espírito Santo."
27,Sábado,Esperança e Força,"Sl 130:5, Rm 8:24-25, Is 12:2","Sl 130:5 - Espero no Senhor com todo o meu ser, e na sua palavra ponho a minha esperança. | Rm 8:24-25 - Pois nessa esperança fomos salvos. Mas esperança que se vê não é esperança. Quem espera por aquilo que está vendo? Mas se esperamos o que ainda não vemos, com paciência o aguardamos. | Is 12:2 - Certamente Deus é a minha salvação; terei confiança e não temerei. O Senhor, sim, o Senhor é a minha força e o meu cântico; ele é a minha salvação!"
28,Domingo,Gratidão e Louvor,"Sl 30:11-12, Sl 63:3-4, Hb 12:28","Sl 30:11-12 - Mudaste o meu pranto em dança, a minha veste de lamento em veste de alegria, para que o meu coração cante louvores a ti e não se cale. Senhor, meu Deus, eu te darei graças para sempre. | Sl 63:3-4 - Porque o teu amor é melhor do que a vida, os meus lábios te louvarão. Enquanto eu viver te bendirei, e em teu nome levantarei as minhas mãos. | Hb 12:28 - Portanto, já que estamos recebendo um Reino inabalável, sejamos agradecidos e, assim, adoremos a Deus de modo aceitável, com reverência e temor."
29,Segunda,Recomeço,"Ez 11:19, Sl 103:12, Mq 7:19","Ez 11:19 - Darei a eles um coração não dividido e porei um novo espírito dentro deles; tirarei deles o coração de pedra e lhes darei um coração de carne. | Sl 103:12 - E tão longe quanto o oriente está do ocidente, assim ele afasta de nós as nossas transgressões. | Mq 7:19 - De novo terás compaixão de nós; pisarás as nossas maldades e atirarás todos os nossos pecados nas profundezas do mar."
30,Terça,Foco e Autocontrole,"Pv 13:3, Mt 7:13-14, 1Ts 4:4","Pv 13:3 - Quem guarda a sua boca guarda a sua vida, mas quem fala demais acaba se arruinando. | Mt 7:13-14 - Entrem pela porta estreita, pois larga é a porta e amplo o caminho que leva à perdição, e são muitos os que entram por ela. Como é estreita a porta, e apertado o caminho que leva à vida! São poucos os que a encontram. | 1Ts 4:4 - Cada um saiba controlar o seu próprio corpo de maneira santa e honrosa."
31,Quarta,Família,"Gn 2:24, Ex 20:12, Mt 19:6","Gn 2:24 - Por essa razão, o homem deixará pai e mãe e se unirá à sua mulher, e eles se tornarão uma só carne. | Ex 20:12 - Honra teu pai e tua mãe, a fim de que tenhas vida longa na terra que o Senhor, o teu Deus, te dá. | Mt 19:6 - Assim, eles já não são dois, mas sim uma só carne. Portanto, o que Deus uniu, ninguém o separe."
32,Quinta,Organização e Finanças,"Pv 11:24-25, Pv 14:23, Mt 6:19-21","Pv 11:24-25 - Quem dá com generosidade, tem cada vez mais; quem retém mais do que é justo, cai na pobreza. O generoso prosperará; quem dá alívio aos outros, alívio receberá. | Pv 14:23 - Todo trabalho árduo traz proveito, mas o só falar leva à pobreza. | Mt 6:19-21 - Não acumulem para vocês tesouros na terra, onde a traça e a ferrugem destroem, e onde os ladrões arrombam e furtam. Mas acumulem tesouros nos céus. Pois onde estiver o seu tesouro, aí estará também o seu coração."
33,Sexta,Paz e Cura,"Sl 107:20, Pv 4:20-22, Jr 30:17","Sl 107:20 - Ele enviou a sua palavra e os curou, e os livrou da morte. | Pv 4:20-22 - Meu filho, escute o que lhe digo; preste atenção às minhas palavras. Não as perca de vista; guarde-as no fundo do coração, pois são vida para quem as encontra e saúde para todo o seu corpo. | Jr 30:17 - Farei cicatrizar o seu ferimento e curarei as suas feridas, declara o Senhor."
34,Sábado,Esperança e Força,"Ne 8:10, Sl 18:2, Sl 22:4-5","Ne 8:10 - Não se entristeçam, porque a alegria do Senhor é a força de vocês. | Sl 18:2 - O Senhor é a minha rocha, a minha fortaleza e o meu libertador; o meu Deus é o meu rochedo, em quem me refugio. Ele é o meu escudo e o poder que me salva, a minha torre alta. | Sl 22:4-5 - Em ti os nossos antepassados puseram a sua confiança; confiaram, e os livraste. Clamaram a ti e foram libertos; em ti confiaram, e não se decepcionaram."
35,Domingo,Gratidão e Louvor,"1Cr 29:13, Ed 3:11, 1Sm 2:1-2","1Cr 29:13 - Agora, nosso Deus, damos-te graças, e louvamos o teu glorioso nome. | Ed 3:11 - Com louvor e ações de graças cantavam ao Senhor: Ele é bom; o seu amor por Israel dura para sempre. E todo o povo deu um grande brado de louvor ao Senhor. | 1Sm 2:1-2 - Meu coração se regozija no Senhor; no Senhor a minha força é exaltada. A minha boca se gloria sobre os meus inimigos, pois me alegro em tua salvação. Não há ninguém santo como o Senhor."
36,Segunda,Recomeço,"Rm 8:1, Ef 2:4-5, Tg 4:8","Rm 8:1 - Portanto, agora já não há condenação para os que estão em Cristo Jesus. | Ef 2:4-5 - Todavia, Deus, que é rico em misericórdia, pelo grande amor com que nos amou, deu-nos vida juntamente com Cristo, quando ainda estávamos mortos em transgressões — pela graça vocês são salvos. | Tg 4:8 - Aproximem-se de Deus, e ele se aproximará de vocês! Pecadores, limpem as mãos, e vocês, que têm a mente dividida, purifiquem o coração."
37,Terça,Foco e Autocontrole,"Hb 12:11, 1Pe 1:13, 1Jo 2:15-17","Hb 12:11 - Nenhuma disciplina parece ser motivo de alegria no momento, mas sim de tristeza. Mais tarde, porém, produz fruto de justiça e paz para aqueles que por ela foram exercitados. | 1Pe 1:13 - Portanto, estejam com a mente preparada, prontos para agir; estejam alertas e ponham toda a esperança na graça que lhes será dada quando Jesus Cristo for revelado. | 1Jo 2:15-17 - Não amem o mundo nem o que nele há. Se alguém ama o mundo, o amor do Pai não está nele. O mundo e a sua cobiça passam, mas aquele que faz a vontade de Deus permanece para sempre."
38,Quarta,Família,"Pv 12:4, Ec 4:9-10, Ct 8:7","Pv 12:4 - A mulher exemplar é a coroa do seu marido, mas a de comportamento vergonhoso é como câncer nos seus ossos. | Ec 4:9-10 - É melhor ter companhia do que estar sozinho, porque maior é a recompensa pelo trabalho. Se um cair, o amigo pode ajudá-lo a levantar-se. Mas pobre do homem que cai e não tem quem o ajude a levantar-se! | Ct 8:7 - As muitas águas não podem apagar o amor; os rios não podem afogá-lo."
39,Quinta,Organização e Finanças,"Lc 12:15, Rm 12:11, 1Co 4:2","Lc 12:15 - Então lhes disse: Cuidado! Fiquem de sobreaviso contra todo tipo de ganância; a vida de um homem não consiste na quantidade dos seus bens. | Rm 12:11 - Nunca lhes falte o zelo, sejam fervorosos no espírito, sirvam ao Senhor. | 1Co 4:2 - O que se requer destes encarregados é que sejam fiéis."
40,Sexta,Paz e Cura,"Jr 33:6, Mt 8:17, Mc 5:34","Jr 33:6 - Todavia, trarei restauração e cura para ela; curá-los-ei e lhes darei muita paz e segurança. | Mt 8:17 - Isso aconteceu para que se cumprisse o que fora dito pelo profeta Isaías: Ele tomou sobre si as nossas enfermidades e carregou as nossas doenças. | Mc 5:34 - Ele lhe disse: Filha, a sua fé a curou! Vá em paz e fique livre do seu sofrimento."
41,Sábado,Esperança e Força,"Sl 31:24, Sl 33:20-22, Sl 59:16","Sl 31:24 - Sejam fortes e corajosos, todos vocês que esperam no Senhor! | Sl 33:20-22 - Nossa esperança está no Senhor; ele é o nosso auxílio e a nossa proteção. Nele se alegra o nosso coração, pois confiamos no seu santo nome. Esteja sobre nós o teu amor, Senhor, como está em ti a nossa esperança. | Sl 59:16 - Eu, porém, cantarei a tua força; pela manhã louvarei com alegria o teu amor leal, pois tu és o meu alto refúgio, abrigo seguro nos tempos de angústia."
42,Domingo,Gratidão e Louvor,"Sl 7:17, Sl 34:1-3, Sl 75:1","Sl 7:17 - Darei graças ao Senhor por sua justiça; ao nome do Senhor Altíssimo cantarei louvores. | Sl 34:1-3 - Bendirei o Senhor o tempo todo; os meus lábios sempre o louvarão. Minha alma se gloriará no Senhor; ouçam os oprimidos e se alegrem. Proclamem a grandeza do Senhor comigo; juntos exaltemos o seu nome. | Sl 75:1 - Damos-te graças, ó Deus, damos graças, pois perto está o teu nome; todos proclamam as tuas maravilhas."
43,Segunda,Recomeço,"Sl 32:5, Pv 3:5-6, 2Co 4:16","Sl 32:5 - Então reconheci diante de ti o meu pecado e não encobri as minhas culpas. Eu disse: Confessarei as minhas transgressões ao Senhor, e tu perdoaste a culpa do meu pecado. | Pv 3:5-6 - Confie no Senhor de todo o seu coração e não se apoie em seu próprio entendimento; reconheça o Senhor em todos os seus caminhos, e ele endireitará as suas veredas. | 2Co 4:16 - Por isso não desanimamos. Embora exteriormente estejamos a desgastar-nos, interiormente estamos sendo renovados dia a dia."
44,Terça,Foco e Autocontrole,"Pv 21:23, Ec 7:9, Mt 26:41","Pv 21:23 - Quem é cuidadoso no que fala evita muito sofrimento. | Ec 7:9 - Não permita que a ira domine o seu espírito, pois a ira se abriga no íntimo dos tolos. | Mt 26:41 - Vigiem e orem para que não caiam em tentação. O espírito está pronto, mas a carne é fraca."
45,Quarta,Família,"Ef 5:33, 1Ts 4:9, 1Tm 3:4-5","Ef 5:33 - Portanto, cada um de vocês também ame a sua mulher como a si mesmo, e a mulher trate o marido com todo o respeito. | 1Ts 4:9 - Quanto ao amor fraternal, não precisamos escrever-lhes, pois vocês mesmos já foram ensinados por Deus a se amarem uns aos outros. | 1Tm 3:4-5 - Ele deve governar bem sua própria família, tendo os filhos sujeitos a ele, com toda a dignidade. Pois, se alguém não sabe governar sua própria família, como poderá cuidar da igreja de Deus?"
46,Quinta,Organização e Finanças,"2Co 8:12, 2Ts 3:10, Hb 13:5","2Co 8:12 - Porque, se há prontidão, a oferta é aceitável de acordo com aquilo que alguém tem, e não com o que não tem. | 2Ts 3:10 - Quando ainda estávamos com vocês, nós lhes ordenamos isto: Se alguém não quiser trabalhar, também não coma. | Hb 13:5 - Conservem-se livres do amor ao dinheiro e contentem-se com o que vocês têm, porque Deus mesmo disse: Nunca o deixarei, nunca o abandonarei."
47,Sexta,Paz e Cura,"Rm 8:28, 2Co 12:9, 1Pe 2:24","Rm 8:28 - Sabemos que Deus age em todas as coisas para o bem daqueles que o amam, dos que foram chamados de acordo com o seu propósito. | 2Co 12:9 - Mas ele me disse: A minha graça te basta, pois o meu poder se aperfeiçoa na fraqueza. Portanto, eu me gloriarei ainda mais alegremente em minhas fraquezas, para que o poder de Cristo repouse em mim. | 1Pe 2:24 - Ele mesmo levou em seu corpo os nossos pecados sobre o madeiro, a fim de que morrêssemos para os pecados e vivêssemos para a justiça; por suas feridas vocês foram curados."
48,Sábado,Esperança e Força,"Sl 73:26, Pv 18:10, Is 33:2","Sl 73:26 - O meu corpo e o meu coração poderão fraquejar, mas Deus é a força do meu coração e a minha herança para sempre. | Pv 18:10 - Torre forte é o nome do Senhor; para ela corre o justo e está seguro. | Is 33:2 - Senhor, tem misericórdia de nós; em ti esperamos! Sê tu a nossa força a cada manhã, a nossa salvação na hora do perigo."
49,Domingo,Gratidão e Louvor,"Sl 86:12, Sl 92:1-2, Sl 145:1-3","Sl 86:12 - De todo o meu coração te louvarei, Senhor, meu Deus; glorificarei o teu nome para sempre. | Sl 92:1-2 - Como é bom render graças ao Senhor e cantar louvores ao teu nome, ó Altíssimo; anunciar de manhã o teu amor leal e de noite a tua fidelidade. | Sl 145:1-3 - Eu te exaltarei, meu Deus e meu rei; bendirei o teu nome para todo o sempre! Todos os dias te bendirei e louvarei o teu nome para todo o sempre! Grande é o Senhor e digno de todo louvor; sua grandeza não tem limites."
50,Segunda,Recomeço,"At 3:19, Lc 15:20, Rm 5:8","At 3:19 - Arrependam-se, pois, e voltem-se para Deus, para que os seus pecados sejam cancelados, para que venham tempos de descanso da parte do Senhor. | Lc 15:20 - Levantou-se e foi para seu pai. Estando ainda longe, seu pai o viu e, cheio de compaixão, correu para seu filho, e o abraçou e beijou. | Rm 5:8 - Mas Deus demonstra seu amor por nós: Cristo morreu em nosso favor quando ainda éramos pecadores."
51,Terça,Foco e Autocontrole,"1Co 9:27, 2Co 10:5, Gl 5:22-23","1Co 9:27 - Mas esmurro o meu corpo e faço dele meu escravo, para que, depois de ter pregado aos outros, eu mesmo não venha a ser reprovado. | 2Co 10:5 - Destruímos argumentos e toda pretensão que se levanta contra o conhecimento de Deus, e levamos cativo todo pensamento, para torná-lo obediente a Cristo. | Gl 5:22-23 - Mas o fruto do Espírito é amor, alegria, paz, paciência, amabilidade, bondade, fidelidade, mansidão e domínio próprio. Contra essas coisas não há lei."
52,Quarta,Família,"1Pe 3:8-9, 1Jo 3:18, 1Jo 4:20","1Pe 3:8-9 - Finalmente, tenham todos o mesmo modo de pensar, sejam compassivos, amem-se fraternalmente, sejam misericordiosos e humildes. Não retribuam mal com mal, nem insulto com insulto; ao contrário, bendigam. | 1Jo 3:18 - Filhinhos, não amemos de palavra nem de boca, mas em ação e em verdade. | 1Jo 4:20 - Se alguém afirmar: Eu amo a Deus, mas odiar seu irmão, é mentiroso, pois quem não ama seu irmão, a quem vê, não pode amar a Deus, a quem não vê."
53,Quinta,Organização e Finanças,"Ml 3:10, Pv 13:22, Pv 21:20","Ml 3:10 - Tragam o dízimo todo ao depósito do templo, para que haja alimento em minha casa. Ponham-me à prova nisso, diz o Senhor dos Exércitos, e vejam se não vou abrir as comportas dos céus e derramar sobre vocês tantas bênçãos que nem terão onde guardá-las. | Pv 13:22 - O homem bom deixa herança para os filhos dos seus filhos, mas a riqueza do pecador é acumulada para o justo. | Pv 21:20 - Na casa do sábio há comida e azeite armazenados, mas o tolo devora tudo o que pode."
54,Sexta,Paz e Cura,"Sl 4:8, Sl 29:11, Pv 3:24","Sl 4:8 - Em paz me deito e logo adormeço, pois só tu, Senhor, me fazes viver em segurança. | Sl 29:11 - O Senhor dá força ao seu povo; o Senhor abençoa com paz ao seu povo. | Pv 3:24 - Quando você se deitar, não terá medo, e o seu sono será tranquilo."
55,Sábado,Esperança e Força,"Is 40:31, Lm 3:24, Zc 9:12","Is 40:31 - Mas aqueles que esperam no Senhor renovam as suas forças. Voam alto como águias; correm e não ficam exaustos, andam e não se cansam. | Lm 3:24 - Digo a mim mesmo: A minha porção é o Senhor; portanto, nele porei a minha esperança. | Zc 9:12 - Voltem à sua fortaleza, ó prisioneiros da esperança; hoje mesmo anuncio que restaurarei o dobro para vocês."
56,Domingo,Gratidão e Louvor,"Is 12:4, Is 25:1, Dn 2:23","Is 12:4 - Naquele dia vocês dirão: Louvem ao Senhor, invoquem o seu nome; anunciem entre as nações os seus feitos, e façam proclamar que o seu nome é exaltado. | Is 25:1 - Senhor, tu és o meu Deus; eu te exaltarei e louvarei o teu nome, pois com perfeita fidelidade tens feito coisas maravilhosas, planos formulados há muito tempo. | Dn 2:23 - Eu te agradeço e te louvo, ó Deus dos meus antepassados; tu me deste sabedoria e poder."
