Dia_Numero,Dia_Semana,Tema,Versiculos
57,Segunda,Recomeço,"Jo 8:11, 2Tm 2:21, Hb 10:22, 1Pe 2:2, 2Pe 3:13"
58,Terça,Foco e Autocontrole,"1Ts 5:6, 1Tm 4:7-8, Tt 1:8, Hb 2:1, Tg 1:12"
59,Quarta,Família,"Pv 18:22, Pv 19:14, Pv 20:7, Pv 23:22, Pv 24:3-4"
60,Quinta,Organização e Finanças,"Pv 22:4, Pv 28:19, Ec 3:1, Is 55:2, Ag 1:6"
61,Sexta,Paz e Cura,"Is 32:17, Rm 5:1, Rm 8:6, Rm 14:17, 1Co 14:33"
62,Sábado,Esperança e Força,"Mt 12:21, At 24:15, Rm 5:2-5, Rm 15:13, 1Co 13:13"
63,Domingo,Gratidão e Louvor,"Jn 2:9, Lc 17:15-16, At 16:25, Rm 1:21, Rm 11:36"
64,Segunda,Recomeço,"Rm 12:1, Gl 5:16, Ef 4:1, Fp 1:6, 1Ts 5:23"
65,Terça,Foco e Autocontrole,"1Pe 4:7, 2Pe 3:17, Ap 3:11, Pv 1:3, Pv 10:17"
66,Quarta,Família,"Pv 27:17, Pv 28:24, Is 54:13, Ml 2:15, Mt 5:31-32"
67,Quinta,Organização e Finanças,"Mt 17:27, Lc 6:38, At 20:35, 1Co 16:2, 2Co 9:10-11"
68,Sexta,Paz e Cura,"Gl 5:22, Ef 2:14, Cl 1:20, Cl 3:15, 1Ts 5:23"
69,Sábado,Esperança e Força,"2Co 1:10, Ef 1:18, Cl 1:27, 1Ts 1:3, 1Ts 5:8"
70,Domingo,Gratidão e Louvor,"1Co 1:4, 2Co 2:14, 2Co 9:15, Ef 1:16, Fp 1:3"
71,Segunda,Recomeço,"Hb 4:16, Tg 1:17, 1Jo 3:2, Ap 2:5, Is 55:7"
72,Terça,Foco e Autocontrole,"Pv 23:12, Is 26:3, Dn 1:8, Mt 14:30, Lc 21:34"
73,Quarta,Família,"Lc 1:17, Jo 15:12, Rm 14:19, 1Co 1:10, 1Co 7:14"
74,Quinta,Organização e Finanças,"Gl 6:7, Ef 4:28, Fp 4:11-12, 1Tm 6:17-19, Tt 3:14"
75,Sexta,Paz e Cura,"Hb 12:14, Tg 3:17-18, 1Pe 3:11, 2Pe 1:2, Jd 1:2"
76,Sábado,Esperança e Força,"1Tm 1:1, Tt 2:13, Tt 3:7, Hb 10:23, Hb 11:1"
77,Domingo,Gratidão e Louvor,"Cl 1:12, Cl 2:7, Cl 4:2, 1Ts 3:9, 1Ts 5:18"
78,Segunda,Recomeço,"Os 6:1, Jl 2:25, Sf 3:17, Ml 3:6, Mt 11:28"
79,Terça,Foco e Autocontrole,"Rm 12:3, 1Co 7:35, 2Co 7:1, Ef 6:14, Cl 4:2"
80,Quarta,Família,"2Co 6:14, Gl 5:13, Ef 4:32, Fp 2:3, Cl 3:13"
81,Quinta,Organização e Finanças,"Tg 4:13-15, 1Pe 5:2, 2Pe 1:3, 1Jo 3:17, 3Jo 1:2"
82,Sexta,Paz e Cura,"Ap 21:4, Sl 23:4, Sl 55:22, Pv 12:25, Is 43:2"
83,Sábado,Esperança e Força,"1Pe 1:3, 1Pe 1:21, 1Pe 3:15, 1Jo 3:3, Ap 3:10"
84,Domingo,Gratidão e Louvor,"2Ts 1:3, 1Tm 1:12, 1Tm 4:4-5, Fm 1:4, Hb 13:15"
85,Segunda,Recomeço,"Lc 19:10, Jo 10:10, Rm 15:13, 2Co 3:18, Gl 6:15"
86,Terça,Foco e Autocontrole,"1Tm 6:11-12, 2Tm 2:4, Hb 3:1, Tg 4:7, 1Pe 2:11"
87,Quarta,Família,"1Ts 5:11, 1Tm 5:1-2, Tt 3:2, Tg 5:16, 1Pe 4:8"
88,Quinta,Organização e Finanças,"Gn 2:15, Ex 35:35, Dt 15:7-8, Rt 2:12, Ne 4:6"
89,Sexta,Paz e Cura,"Mt 6:34, Lc 1:79, Lc 2:14, Jo 14:1, Rm 15:33"
90,Sábado,Esperança e Força,"Sl 9:18, Sl 25:3, Sl 119:49, Is 49:23, Mq 7:7"
